CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage orthophonistes
01193;Izieu;1b_Sous_dense
01194;Jassans-Riottier;4_Tres_dotee
01195;Jasseron;1b_Sous_dense
01196;Jayat;1b_Sous_dense
01197;Journans;1b_Sous_dense
01198;Joyeux;3_intermediaire
01199;Jujurieux;3_intermediaire
01200;Labalme;1b_Sous_dense
01202;Lagnieu;3_intermediaire
01203;Laiz;3_intermediaire
01204;Le Poizat-Lalleyriat;1b_Sous_dense
01206;Lantenay;3_intermediaire
01207;Lapeyrouse;3_intermediaire
01208;Lavours;3_intermediaire
01209;Léaz;1b_Sous_dense
01210;Lélex;1b_Sous_dense
01211;Lent;1b_Sous_dense
01212;Lescheroux;1b_Sous_dense
01213;Leyment;3_intermediaire
01214;Leyssard;1b_Sous_dense
01215;Surjoux-Lhopital;3_intermediaire
01216;Lhuis;1b_Sous_dense
01219;Lompnas;1b_Sous_dense
01224;Loyettes;3_intermediaire
01225;Lurcy;3_intermediaire
01227;Magnieu;3_intermediaire
01228;Maillat;1b_Sous_dense
01229;Malafretaz;1b_Sous_dense
01230;Mantenay-Montlin;1b_Sous_dense
01231;Manziat;3_intermediaire
01232;Marboz;1b_Sous_dense
01233;Marchamp;3_intermediaire
01234;Marignieu;3_intermediaire
01235;Marlieux;3_intermediaire
01236;Marsonnas;1b_Sous_dense
01237;Martignat;1b_Sous_dense
01238;Massieux;4_Tres_dotee
01239;Massignieu-de-Rives;3_intermediaire
01240;Matafelon-Granges;3_intermediaire
01241;Meillonnas;1b_Sous_dense
01242;Mérignat;3_intermediaire
01243;Messimy-sur-Saône;3_intermediaire
01244;Meximieux;5_Sur_dotee
01245;Bohas-Meyriat-Rignat;1b_Sous_dense
01246;Mézériat;3_intermediaire
01247;Mijoux;1b_Sous_dense
01248;Mionnay;5_Sur_dotee
01249;Miribel;3_intermediaire
01250;Misérieux;4_Tres_dotee
01252;Mogneneins;3_intermediaire
01254;Montagnat;1b_Sous_dense
01255;Montagnieu;1b_Sous_dense
01257;Montanges;1b_Sous_dense
01258;Montceaux;3_intermediaire
01259;Montcet;3_intermediaire
01260;Le Montellier;5_Sur_dotee
01261;Monthieux;5_Sur_dotee
01262;Montluel;3_intermediaire
01263;Montmerle-sur-Saône;3_intermediaire
01264;Montracol;3_intermediaire
01265;Montréal-la-Cluse;1b_Sous_dense
01266;Montrevel-en-Bresse;1b_Sous_dense
01267;Nurieux-Volognat;1b_Sous_dense
01268;Murs-et-Gélignieux;1b_Sous_dense
01269;Nantua;1b_Sous_dense
01272;Neuville-les-Dames;3_intermediaire
01273;Neuville-sur-Ain;3_intermediaire
01274;Les Neyrolles;1b_Sous_dense
01275;Neyron;3_intermediaire
01276;Niévroz;3_intermediaire
01277;Nivollet-Montgriffon;3_intermediaire
01279;Oncieu;3_intermediaire
01280;Ordonnaz;3_intermediaire
01281;Ornex;1b_Sous_dense
01282;Outriaz;3_intermediaire
01283;Oyonnax;1b_Sous_dense
01284;Ozan;3_intermediaire
01285;Parcieux;4_Tres_dotee
01286;Parves et Nattages;3_intermediaire
01288;Péron;1b_Sous_dense
01289;Péronnas;3_intermediaire
01290;Pérouges;5_Sur_dotee
01291;Perrex;3_intermediaire
01293;Peyriat;1b_Sous_dense
01294;Peyrieu;3_intermediaire
01295;Peyzieux-sur-Saône;3_intermediaire
01296;Pirajoux;1b_Sous_dense
01297;Pizay;3_intermediaire
01298;Plagne;1b_Sous_dense
01299;Le Plantay;3_intermediaire
01301;Polliat;3_intermediaire
01302;Pollieu;3_intermediaire
01303;Poncin;3_intermediaire
01304;Pont-d'Ain;3_intermediaire
01305;Pont-de-Vaux;3_intermediaire
01306;Pont-de-Veyle;3_intermediaire
01307;Port;1b_Sous_dense
01308;Pougny;1b_Sous_dense
01309;Pouillat;1b_Sous_dense
01310;Prémeyzel;3_intermediaire
01311;Prémillieu;3_intermediaire
01313;Prévessin-Moëns;1b_Sous_dense
01314;Priay;3_intermediaire
01317;Ramasse;1b_Sous_dense
01318;Rancé;3_intermediaire
01319;Relevant;3_intermediaire
01320;Replonges;3_intermediaire
01321;Revonnas;1b_Sous_dense
01322;Reyrieux;4_Tres_dotee
01323;Reyssouze;3_intermediaire
01325;Rignieux-le-Franc;5_Sur_dotee
01328;Romans;3_intermediaire
01329;Rossillon;3_intermediaire
01330;Ruffieu;3_intermediaire
01331;Saint-Alban;3_intermediaire
01332;Saint-André-de-Bâgé;3_intermediaire
01333;Saint-André-de-Corcy;5_Sur_dotee
