CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage kinés
01181;Groissiat;3_intermediaire
01183;Guéreins;2_Sous_dotee
01184;Hautecourt-Romanèche;1_Tres_sous_dotee
01185;Plateau d'Hauteville;3_intermediaire
01187;Haut Valromey;3_intermediaire
01188;Illiat;2_Sous_dotee
01189;Injoux-Génissiat;1_Tres_sous_dotee
01190;Innimond;3_intermediaire
01191;Izenave;3_intermediaire
01192;Izernore;2_Sous_dotee
01193;Izieu;3_intermediaire
01194;Jassans-Riottier;3_intermediaire
01195;Jasseron;1_Tres_sous_dotee
01196;Jayat;1_Tres_sous_dotee
01197;Journans;1_Tres_sous_dotee
01198;Joyeux;2_Sous_dotee
01199;Jujurieux;3_intermediaire
01200;Labalme;3_intermediaire
01202;Lagnieu;3_intermediaire
01203;Laiz;3_intermediaire
01204;Le Poizat-Lalleyriat;2_Sous_dotee
01206;Lantenay;2_Sous_dotee
01207;Lapeyrouse;2_Sous_dotee
01208;Lavours;3_intermediaire
01209;Léaz;1_Tres_sous_dotee
01210;Lélex;1_Tres_sous_dotee
01211;Lent;1_Tres_sous_dotee
01212;Lescheroux;1_Tres_sous_dotee
01213;Leyment;3_intermediaire
01214;Leyssard;2_Sous_dotee
01215;Surjoux-Lhopital;3_intermediaire
01216;Lhuis;1_Tres_sous_dotee
01219;Lompnas;1_Tres_sous_dotee
01224;Loyettes;2_Sous_dotee
01225;Lurcy;2_Sous_dotee
01227;Magnieu;3_intermediaire
01228;Maillat;2_Sous_dotee
01229;Malafretaz;1_Tres_sous_dotee
01230;Mantenay-Montlin;1_Tres_sous_dotee
01231;Manziat;3_intermediaire
01232;Marboz;1_Tres_sous_dotee
01233;Marchamp;3_intermediaire
01234;Marignieu;3_intermediaire
01235;Marlieux;2_Sous_dotee
01236;Marsonnas;1_Tres_sous_dotee
01237;Martignat;3_intermediaire
01238;Massieux;3_intermediaire
01239;Massignieu-de-Rives;3_intermediaire
01240;Matafelon-Granges;2_Sous_dotee
01241;Meillonnas;1_Tres_sous_dotee
01242;Mérignat;3_intermediaire
01243;Messimy-sur-Saône;3_intermediaire
01244;Meximieux;2_Sous_dotee
01245;Bohas-Meyriat-Rignat;1_Tres_sous_dotee
01246;Mézériat;1_Tres_sous_dotee
01247;Mijoux;1_Tres_sous_dotee
01248;Mionnay;3_intermediaire
01249;Miribel;3_intermediaire
01250;Misérieux;3_intermediaire
01252;Mogneneins;2_Sous_dotee
01254;Montagnat;1_Tres_sous_dotee
01255;Montagnieu;1_Tres_sous_dotee
01257;Montanges;1_Tres_sous_dotee
01258;Montceaux;2_Sous_dotee
01259;Montcet;2_Sous_dotee
01260;Le Montellier;2_Sous_dotee
